Año,Entidad,Ley,Concepto,Tipo,Total
2012,Nuevo León,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Nuevo León,Codigo penal federal,Contra la salud,Comercio,267.0
2012,Nuevo León,Codigo penal federal,Contra la salud,Suministro,2.0
2012,Nuevo León,Codigo penal federal,Contra la salud,Posesion,745.0
2012,Nuevo León,Codigo penal federal,Contra la salud,Otros,13.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,338.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,21.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Contra la integridad corporal,13.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Electorales,37.0
2012,Nuevo León,Codigo penal federal,Otros delitos,En materia de derechos de autor,10.0
2012,Nuevo León,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",57.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Patrimoniales,409.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,44.0
2012,Nuevo León,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,141.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Produccion,11.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Transporte,58.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Trafico,2.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Comercio,71.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Posesion,92.0
2012,Oaxaca,Codigo penal federal,Contra la salud,Otros,89.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,84.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,147.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Contra la integridad corporal,6.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Electorales,56.0
2012,Oaxaca,Codigo penal federal,Otros delitos,En materia de derechos de autor,17.0
2012,Oaxaca,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",62.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Patrimoniales,249.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,53.0
2012,Oaxaca,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,194.0
